CE ID,Contracting Entity,Type of Organization,Program Type (SFSP or SSFO),Type of SFSP,TDA Region,ESC Region,County, Sites Claiming , Breakfast Days Claimed , Severe Need Breakfast Days Claimed , AM Snack Days Claimed , Lunch Days Claimed , PM Snack Days Claimed , Supper Days Claimed , Breakfast Meals , Severe Need Breakfast Meals , AM Snack Meals , Lunch Meals , LUNCH ADP , PM Snack Meals , Supper Meals , TOTAL MEALS , Breakfast Reimbursement , Severe Need Breakfast Reimbursement , AM Snack Reimbursement , Lunch Reimbursement , PM Snack Reimbursement , Supper Reimbursement , Admin Reimbursement , Total Reimbursement 
123,BRYAN ISD,Educational Institution,SFSP,School Food Authority,3,6,Brazos ,30,44, -   , -   ,44, -   , -   ,"21,416", -   , -   ,"38,840",883, -   , -   ,"60,256","40,476", -   , -   ,"128,172", -   , -   ,"17,415","186,064"
125,ALPINE ISD,Educational Institution,SFSP,School Food Authority,1,18,Brewster ,1, -   , -   , -   ,14, -   , -   , -   , -   , -   ,403,29, -   , -   ,403, -   , -   , -   ,"1,330", -   , -   ,139,"1,469"
131,BROWNWOOD ISD,Educational Institution,SFSP,School Food Authority,1,15,Brown ,10,41, -   , -   ,41, -   , -   ,"7,770", -   , -   ,"9,120",222, -   , -   ,"16,890","14,685", -   , -   ,"30,096", -   , -   ,"4,603","49,385"
138,SOMERVILLE ISD,Educational Institution,SFSP,School Food Authority,3,6,Burleson ,1,12, -   , -   ,12, -   , -   ,600, -   , -   ,982,82, -   , -   ,"1,582","1,134", -   , -   ,"3,241", -   , -   ,451,"4,826"
141,MARBLE FALLS ISD,Educational Institution,SFSP,School Food Authority,4,13,Burnet ,10,36, -   , -   ,36, -   , -   ,"3,276", -   , -   ,"8,534",237, -   , -   ,"11,810","6,192", -   , -   ,"28,162", -   , -   ,"3,558","37,912"
143,LULING ISD,Educational Institution,SFSP,School Food Authority,4,13,Caldwell ,1,18, -   , -   ,18, -   , -   ,"1,400", -   , -   ,"2,074",115, -   , -   ,"3,474","2,646", -   , -   ,"6,844", -   , -   ,978,"10,468"
145,CALHOUN CO ISD,Educational Institution,SFSP,School Food Authority,3,3,Calhoun ,4,30, -   , -   ,30, -   , -   ,"1,470", -   , -   ,"2,123",71, -   , -   ,"3,593","2,778", -   , -   ,"7,006", -   , -   ,"1,008","10,792"
155,POINT ISABEL ISD,Educational Institution,SFSP,School Food Authority,5,1,Cameron ,21,50, -   , -   ,50, -   , -   ,"4,634", -   , -   ,"7,989",160, -   , -   ,"12,623","8,758", -   , -   ,"26,364", -   , -   ,"3,625","38,747"
158,SANTA MARIA ISD,Educational Institution,SFSP,School Food Authority,5,1,Cameron ,1,20, -   , -   ,20, -   , -   ,"3,060", -   , -   ,"3,075",154, -   , -   ,"6,135","5,783", -   , -   ,"10,148", -   , -   ,"1,635","17,566"
171,HART ISD,Educational Institution,SFSP,School Food Authority,1,16,Castro ,1,22, -   , -   ,22, -   , -   ,242, -   , -   ,450,20, -   , -   ,692,457, -   , -   ,"1,485", -   , -   ,201,"2,143"
176,ALTO ISD,Educational Institution,SFSP,School Food Authority,2,7,Cherokee ,1,15, -   , -   ,15, -   , -   ,"1,195", -   , -   ,"1,323",88, -   , -   ,"2,518","2,259", -   , -   ,"4,366", -   , -   ,681,"7,305"
181,CHILDRESS ISD,Educational Institution,SFSP,School Food Authority,1,16,Childress ,1, -   , -   , -   ,18, -   , -   , -   , -   , -   ,502,28, -   , -   ,502, -   , -   , -   ,"1,657", -   , -   ,173,"1,830"
187,MORTON ISD,Educational Institution,SFSP,School Food Authority,1,17,Cochran ,1,22, -   , -   ,22, -   , -   ,596, -   , -   ,"1,258",57, -   , -   ,"1,854","1,126", -   , -   ,"4,151", -   , -   ,546,"5,824"
191,COLEMAN ISD,Educational Institution,SFSP,School Food Authority,1,15,Coleman ,2, -   , -   ,20,20, -   , -   , -   , -   ,"2,038","2,397",120, -   , -   ,"4,435", -   , -   ,"1,569","7,910", -   , -   ,"1,021","10,500"
198,FARMERSVILLE ISD,Educational Institution,SFSP,School Food Authority,2,10,Collin ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,"1,909",87, -   , -   ,"1,909", -   , -   , -   ,"6,300", -   , -   ,659,"6,958"
202,PLANO ISD,Educational Institution,SFSP,School Food Authority,2,10,Collin ,4, -   , -   , -   ,44, -   , -   , -   , -   , -   ,"11,722",266, -   , -   ,"11,722", -   , -   , -   ,"38,683", -   , -   ,"4,044","42,727"
203,PRINCETON ISD,Educational Institution,SFSP,School Food Authority,2,10,Collin ,1,20, -   , -   ,20, -   , -   ,"2,427", -   , -   ,"3,766",188, -   , -   ,"6,193","4,587", -   , -   ,"12,428", -   , -   ,"1,754","18,769"
205,WYLIE ISD-WYLIE,Educational Institution,SFSP,School Food Authority,2,10,Collin ,1,16, -   , -   ,16, -   , -   ,"1,150", -   , -   ,"2,123",133, -   , -   ,"3,273","2,174", -   , -   ,"7,006", -   , -   ,948,"10,127"
209,WELLINGTON ISD,Educational Institution,SFSP,School Food Authority,1,16,Collingsworth ,2, -   , -   , -   ,24, -   , -   , -   , -   , -   ,"1,019",42, -   , -   ,"1,019", -   , -   , -   ,"3,363", -   , -   ,352,"3,714"
212,RICE CONS ISD,Educational Institution,SFSP,School Food Authority,3,3,Colorado ,1,16, -   , -   ,16, -   , -   ,162, -   , -   ,161,10, -   , -   ,323,306, -   , -   ,531, -   , -   ,86,923
222,GAINESVILLE ISD,Educational Institution,SFSP,School Food Authority,2,11,Cooke ,5,24, -   , -   ,24, -   , -   ,"2,588", -   , -   ,"4,621",193, -   , -   ,"7,209","4,891", -   , -   ,"15,249", -   , -   ,"2,080","22,220"
238,CROSBYTON ISD,Educational Institution,SFSP,School Food Authority,1,17,Crosby ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,"1,057",48, -   , -   ,"1,057", -   , -   , -   ,"3,488", -   , -   ,365,"3,853"
240,RALLS ISD,Educational Institution,SFSP,School Food Authority,1,17,Crosby ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,596,27, -   , -   ,596, -   , -   , -   ,"1,967", -   , -   ,206,"2,172"
241,CULBERSON COUNTY-ALLAMORE ISD,Educational Institution,SFSP,School Food Authority,1,18,Culberson ,1,16, -   , -   ,16, -   , -   ,252, -   , -   ,435,27, -   , -   ,687,476, -   , -   ,"1,436", -   , -   ,197,"2,109"
242,DALHART ISD,Educational Institution,SFSP,School Food Authority,1,16,Dallam ,1,20, -   , -   ,20, -   , -   ,763, -   , -   ,"1,574",79, -   , -   ,"2,337","1,442", -   , -   ,"5,194", -   , -   ,686,"7,322"
253,TRINITY BASIN PREPARATORY,Educational Institution,SFSP,Private Nonprofit,2,10,Dallas ,3,18, -   , -   ,18, -   , -   ,"2,060", -   , -   ,"3,241",180, -   , -   ,"5,301","3,893", -   , -   ,"10,695", -   , -   ,"1,236","15,824"
281,IRVING ISD,Educational Institution,SFSP,School Food Authority,2,10,Dallas ,64,54, -   ,9,54,44, -   ,"57,156", -   ,336,"78,678","1,457","9,277", -   ,"145,447","108,025", -   ,259,"259,637","7,143", -   ,"38,774","413,838"
282,LANCASTER ISD,Educational Institution,SFSP,School Food Authority,2,10,Dallas ,10,47, -   , -   ,47, -   , -   ,"8,357", -   , -   ,"18,652",397, -   , -   ,"27,009","15,795", -   , -   ,"61,552", -   , -   ,"8,002","85,348"
283,MESQUITE ISD,Educational Institution,SFSP,School Food Authority,2,10,Dallas ,27,28, -   , -   ,40, -   , -   ,"13,113", -   , -   ,"58,733","1,468", -   , -   ,"71,846","24,784", -   , -   ,"193,819", -   , -   ,"22,722","241,324"
291,HEREFORD ISD,Educational Institution,SFSP,School Food Authority,1,16,Deaf Smith ,3,33, -   , -   ,33, -   , -   ,"4,359", -   , -   ,"11,170",338, -   , -   ,"15,529","8,239", -   , -   ,"36,861", -   , -   ,"4,671","49,770"
298,PILOT POINT ISD,Educational Institution,SFSP,School Food Authority,1,11,Denton ,1,22, -   , -   ,22, -   , -   ,758, -   , -   ,"1,098",50, -   , -   ,"1,856","1,433", -   , -   ,"3,623", -   , -   ,521,"5,577"
307,CUERO ISD,Educational Institution,SFSP,School Food Authority,3,3,Dewitt ,1,30, -   , -   ,30, -   , -   ,"2,540", -   , -   ,"3,581",119, -   , -   ,"6,121","4,801", -   , -   ,"11,817", -   , -   ,"1,712","18,330"
309,YOAKUM ISD,Educational Institution,SFSP,School Food Authority,3,3,Dewitt ,3, -   , -   ,22,22, -   , -   , -   , -   ,"2,288","2,444",111, -   , -   ,"4,732", -   , -   ,"1,762","8,065", -   , -   ,"1,061","10,888"
315,CARRIZO SPRINGS CONS ISD,Educational Institution,SFSP,School Food Authority,4,20,Dimmit ,11,21, -   , -   ,22, -   , -   ,"5,160", -   , -   ,"9,369",426, -   , -   ,"14,529","9,752", -   , -   ,"30,918", -   , -   ,"4,200","44,870"
325,RANGER ISD,Educational Institution,SFSP,School Food Authority,1,14,Eastland ,1,20, -   , -   , -   , -   , -   ,419, -   , -   , -   , - , -   , -   ,419,792, -   , -   , -   , -   , -   ,79,870
327,ECTOR COUNTY ISD,Educational Institution,SFSP,School Food Authority,1,18,Ector ,31,24, -   , -   ,24, -   , -   ,"9,027", -   , -   ,"11,774",491, -   , -   ,"20,801","17,061", -   , -   ,"38,854", -   , -   ,"5,755","61,670"
331,AVALON ISD,Educational Institution,SFSP,School Food Authority,2,10,Ellis ,1, -   , -   , -   ,19, -   , -   , -   , -   , -   ,838,44, -   , -   ,838, -   , -   , -   ,"2,765", -   , -   ,289,"3,055"
333,FERRIS ISD,Educational Institution,SFSP,School Food Authority,2,10,Ellis ,2,5, -   , -   ,5, -   , -   ,"1,689", -   , -   ,"2,549",510, -   , -   ,"4,238","3,192", -   , -   ,"8,412", -   , -   ,"1,196","12,800"
336,MILFORD ISD,Educational Institution,SFSP,School Food Authority,2,10,Ellis ,1, -   , -   , -   ,16, -   , -   , -   , -   , -   ,705,44, -   , -   ,705, -   , -   , -   ,"2,327", -   , -   ,243,"2,570"
338,RED OAK ISD,Educational Institution,SFSP,School Food Authority,2,10,Ellis ,2,22, -   , -   ,22, -   , -   ,"1,812", -   , -   ,"2,061",94, -   , -   ,"3,873","3,425", -   , -   ,"6,801", -   , -   ,"1,051","11,277"
339,WAXAHACHIE ISD,Educational Institution,SFSP,School Food Authority,2,10,Ellis ,1,15, -   , -   ,15, -   , -   ,"1,332", -   , -   ,"2,110",141, -   , -   ,"3,442","2,517", -   , -   ,"6,963", -   , -   ,978,"10,458"
347,FABENS ISD,Educational Institution,SFSP,School Food Authority,1,19,El Paso ,2,20, -   , -   ,20, -   , -   ,"1,344", -   , -   ,"4,033",202, -   , -   ,"5,377","2,540", -   , -   ,"13,309", -   , -   ,"1,643","17,492"
348,SAN ELIZARIO ISD,Educational Institution,SFSP,School Food Authority,1,19,El Paso ,7,34, -   , -   ,34, -   , -   ,"5,435", -   , -   ,"10,271",302, -   , -   ,"15,706","10,272", -   , -   ,"33,894", -   , -   ,"4,563","48,729"
349,YSLETA ISD,Educational Institution,SFSP,School Food Authority,1,19,El Paso ,24,20, -   , -   ,20, -   , -   ,"33,088", -   , -   ,"53,130","2,657", -   , -   ,"86,218","62,536", -   , -   ,"175,329", -   , -   ,"24,534","262,399"
350,ANTHONY ISD,Educational Institution,SFSP,School Food Authority,1,19,El Paso ,47,48, -   , -   ,58, -   ,58,"12,737", -   , -   ,"92,501","1,595", -   ,"64,358","169,596","24,073", -   , -   ,"305,253", -   ,"212,381","56,505","598,212"
351,CANUTILLO ISD,Educational Institution,SFSP,School Food Authority,1,19,El Paso ,8,19, -   , -   ,19, -   , -   ,"7,831", -   , -   ,"11,971",630, -   , -   ,"19,802","14,801", -   , -   ,"39,504", -   , -   ,"5,598","59,903"
352,TORNILLO ISD,Educational Institution,SFSP,School Food Authority,1,19,El Paso ,2,20, -   , -   ,20, -   , -   ,"2,527", -   , -   ,"4,284",214, -   , -   ,"6,811","4,776", -   , -   ,"14,137", -   , -   ,"1,952","20,865"
356,DUBLIN ISD,Educational Institution,SFSP,School Food Authority,2,11,Erath ,2,15, -   , -   ,15, -   , -   ,"1,864", -   , -   ,"2,448",163, -   , -   ,"4,312","3,523", -   , -   ,"8,078", -   , -   ,"1,194","12,795"
369,HONEY GROVE ISD,Educational Institution,SFSP,School Food Authority,2,10,Fannin ,5, -   , -   , -   ,37, -   , -   , -   , -   , -   ,"2,344",63, -   , -   ,"2,344", -   , -   , -   ,"7,735", -   , -   ,809,"8,544"
370,LEONARD ISD,Educational Institution,SFSP,School Food Authority,2,10,Fannin ,1, -   , -   , -   ,19, -   , -   , -   , -   , -   ,"2,258",119, -   , -   ,"2,258", -   , -   , -   ,"7,451", -   , -   ,779,"8,230"
375,LA GRANGE ISD,Educational Institution,SFSP,School Food Authority,4,13,Fayette ,11, -   , -   , -   ,49, -   , -   , -   , -   , -   ,"4,991",102, -   , -   ,"4,991", -   , -   , -   ,"16,470", -   , -   ,"1,722","18,192"
376,SCHULENBURG ISD,Educational Institution,SFSP,School Food Authority,4,13,Fayette ,4,20, -   , -   ,37, -   , -   ,472, -   , -   ,"3,887",105, -   , -   ,"4,359",892, -   , -   ,"12,827", -   , -   ,"1,430","15,149"
381,FLOYDADA ISD,Educational Institution,SFSP,School Food Authority,1,17,Floyd ,2, -   , -   , -   ,27, -   , -   , -   , -   , -   ,"2,867",106, -   , -   ,"2,867", -   , -   , -   ,"9,461", -   , -   ,989,"10,450"
383,CROWELL ISD,Educational Institution,SFSP,School Food Authority,2,9,Foard ,3, -   , -   , -   ,53, -   , -   , -   , -   , -   ,"2,011",38, -   , -   ,"2,011", -   , -   , -   ,"6,636", -   , -   ,694,"7,330"
394,DILLEY ISD,Educational Institution,SFSP,School Food Authority,4,20,Frio ,1,20, -   , -   ,20, -   , -   ,897, -   , -   ,"1,652",83, -   , -   ,"2,549","1,695", -   , -   ,"5,452", -   , -   ,738,"7,885"
395,PEARSALL ISD,Educational Institution,SFSP,School Food Authority,4,20,Frio ,4,27, -   , -   ,27, -   , -   ,"2,706", -   , -   ,"5,971",221, -   , -   ,"8,677","5,114", -   , -   ,"19,704", -   , -   ,"2,567","27,386"
396,SEAGRAVES ISD,Educational Institution,SFSP,School Food Authority,1,17,Gaines ,1,20, -   , -   ,20, -   , -   ,346, -   , -   ,"1,257",63, -   , -   ,"1,603",654, -   , -   ,"4,148", -   , -   ,499,"5,301"
398,SEMINOLE ISD,Educational Institution,SFSP,School Food Authority,1,17,Gaines ,1, -   , -   , -   ,16, -   , -   , -   , -   , -   ,"1,788",112, -   , -   ,"1,788", -   , -   , -   ,"5,900", -   , -   ,617,"6,517"
403,GALVESTON ISD,Educational Institution,SFSP,School Food Authority,3,4,Galveston ,31,39, -   , -   ,39, -   , -   ,"28,811", -   , -   ,"47,119","1,208", -   , -   ,"75,930","54,453", -   , -   ,"155,493", -   , -   ,"21,658","231,604"
411,POST ISD,Educational Institution,SFSP,School Food Authority,1,17,Garza ,1,22, -   , -   ,19, -   , -   ,"2,974", -   , -   ,"2,527",133, -   , -   ,"5,501","5,621", -   , -   ,"8,339", -   , -   ,"1,429","15,389"
413,FREDERICKSBURG ISD,Educational Institution,SFSP,School Food Authority,4,13,Gillespie ,6, -   , -   , -   ,40, -   , -   , -   , -   , -   ,"5,932",148, -   , -   ,"5,932", -   , -   , -   ,"19,576", -   , -   ,"2,047","21,622"
417,GONZALES ISD,Educational Institution,SFSP,School Food Authority,3,13,Gonzales ,5,27, -   , -   ,27, -   , -   ,"3,246", -   , -   ,"3,836",142, -   , -   ,"7,082","6,135", -   , -   ,"12,659", -   , -   ,"1,932","20,726"
418,NIXON-SMILEY CONS ISD,Educational Institution,SFSP,School Food Authority,3,13,Gonzales ,2,30, -   , -   ,30, -   , -   ,798, -   , -   ,"1,789",60, -   , -   ,"2,587","1,508", -   , -   ,"5,904", -   , -   ,767,"8,179"
419,WAELDER ISD,Educational Institution,SFSP,School Food Authority,3,13,Gonzales ,2,25, -   , -   ,25, -   , -   ,802, -   , -   ,"1,157",46, -   , -   ,"1,959","1,516", -   , -   ,"3,818", -   , -   ,550,"5,883"
422,PAMPA ISD,Educational Institution,SFSP,School Food Authority,1,16,Gray ,12,49, -   , -   ,49, -   , -   ,"2,350", -   , -   ,"9,105",186, -   , -   ,"11,455","4,442", -   , -   ,"30,047", -   , -   ,"3,582","38,070"
426,DENISON ISD,Educational Institution,SFSP,School Food Authority,2,10,Grayson ,4,41, -   , -   ,54,26, -   ,525, -   , -   ,"3,982",74,491, -   ,"4,998",992, -   , -   ,"13,141",378, -   ,"1,519","16,030"
448,SEGUIN ISD,Educational Institution,SFSP,School Food Authority,4,13,Guadalupe ,6,16, -   , -   ,16,12, -   ,"4,844", -   , -   ,"6,858",429,"1,181", -   ,"12,883","9,155", -   , -   ,"22,631",909, -   ,"3,386","36,082"
452,ABERNATHY ISD,Educational Institution,SFSP,School Food Authority,1,17,Hale ,1, -   , -   , -   ,16, -   , -   , -   , -   , -   ,607,38, -   , -   ,607, -   , -   , -   ,"2,003", -   , -   ,209,"2,213"
454,HALE CENTER ISD,Educational Institution,SFSP,School Food Authority,1,17,Hale ,1,13, -   , -   ,16, -   , -   ,407, -   , -   ,943,59, -   , -   ,"1,350",769, -   , -   ,"3,112", -   , -   ,402,"4,283"
455,PETERSBURG ISD,Educational Institution,SFSP,School Food Authority,1,17,Hale ,1, -   , -   , -   ,24, -   , -   , -   , -   , -   ,978,41, -   , -   ,978, -   , -   , -   ,"3,227", -   , -   ,337,"3,565"
456,PLAINVIEW ISD,Educational Institution,SFSP,School Food Authority,1,17,Hale ,3,38, -   , -   ,38, -   , -   ,"2,642", -   , -   ,"5,213",137, -   , -   ,"7,855","4,993", -   , -   ,"17,203", -   , -   ,"2,294","24,490"
457,MEMPHIS ISD,Educational Institution,SFSP,School Food Authority,1,16,Hall ,1,18, -   , -   ,18, -   , -   ,673, -   , -   ,748,42, -   , -   ,"1,421","1,272", -   , -   ,"2,468", -   , -   ,384,"4,125"
458,TURKEY-QUITAQUE ISD,Educational Institution,SFSP,School Food Authority,1,16,Hall ,1, -   , -   , -   ,20, -   , -   , -   , -   , -   ,"1,425",71, -   , -   ,"1,425", -   , -   , -   ,"4,703", -   , -   ,492,"5,194"
515,CHANNELVIEW ISD,Educational Institution,SFSP,School Food Authority,3,4,Harris ,6,31, -   , -   ,31, -   , -   ,"7,945", -   , -   ,"13,179",425, -   , -   ,"21,124","15,016", -   , -   ,"43,491", -   , -   ,"6,036","64,543"
516,CROSBY ISD,Educational Institution,SFSP,School Food Authority,3,4,Harris ,2,20, -   , -   ,20, -   , -   ,"2,726", -   , -   ,"6,058",303, -   , -   ,"8,784","5,152", -   , -   ,"19,991", -   , -   ,"2,601","27,745"
521,GOOSE CREEK CISD,Educational Institution,SFSP,School Food Authority,3,4,Harris ,42,52, -   , -   ,52, -   , -   ,"20,810", -   , -   ,"43,012",827, -   , -   ,"63,822","39,331", -   , -   ,"141,940", -   , -   ,"18,741","200,012"
522,HOUSTON ISD,Educational Institution,SFSP,School Food Authority,3,4,Harris ,447,48, -   , -   ,48, -   , -   ,"551,956", -   , -   ,"700,579","14,595", -   , -   ,"1,252,535","1,043,197", -   , -   ,"2,311,911", -   , -   ,"345,192","3,700,299"
527,PASADENA ISD,Educational Institution,SFSP,School Food Authority,3,4,Harris ,25,29, -   , -   ,29,12, -   ,"56,638", -   , -   ,"93,235","3,215",465, -   ,"150,338","107,046", -   , -   ,"307,676",358, -   ,"42,830","457,909"
529,SPRING BRANCH ISD,Educational Institution,SFSP,School Food Authority,3,4,Harris ,46,45, -   , -   ,45, -   , -   ,"48,131", -   , -   ,"78,731","1,750", -   , -   ,"126,862","90,968", -   , -   ,"259,812", -   , -   ,"36,187","386,967"
541,HASKELL CISD,Educational Institution,SFSP,School Food Authority,1,14,Haskell ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,"1,430",65, -   , -   ,"1,430", -   , -   , -   ,"4,719", -   , -   ,493,"5,212"
565,EDCOUCH-ELSA ISD,Educational Institution,SFSP,School Food Authority,5,1,Hidalgo ,6,16, -   , -   ,16, -   , -   ,"7,114", -   , -   ,"9,652",603, -   , -   ,"16,766","13,445", -   , -   ,"31,852", -   , -   ,"4,664","49,961"
567,HIDALGO ISD,Educational Institution,SFSP,School Food Authority,5,1,Hidalgo ,4,21, -   , -   ,21, -   , -   ,"13,940", -   , -   ,"16,054",764, -   , -   ,"29,994","26,347", -   , -   ,"52,978", -   , -   ,"8,152","87,477"
572,PROGRESO ISD,Educational Institution,SFSP,School Food Authority,5,1,Hidalgo ,8,20, -   , -   ,43, -   , -   ,"6,194", -   , -   ,"12,800",298, -   , -   ,"18,994","11,707", -   , -   ,"42,240", -   , -   ,"5,577","59,524"
576,LA VILLA ISD,Educational Institution,SFSP,School Food Authority,5,1,Hidalgo ,1,19, -   , -   ,19, -   , -   ,987, -   , -   ,"1,198",63, -   , -   ,"2,185","1,865", -   , -   ,"3,953", -   , -   ,598,"6,417"
577,MONTE ALTO ISD,Educational Institution,SFSP,School Food Authority,5,1,Hidalgo ,2,29, -   , -   ,29, -   , -   ,"2,600", -   , -   ,"4,313",149, -   , -   ,"6,913","4,914", -   , -   ,"14,233", -   , -   ,"1,975","21,122"
593,ROPESVILLE ISD,Educational Institution,SFSP,School Food Authority,1,17,Hockley ,2,30, -   , -   ,30, -   , -   ,291, -   , -   ,629,21, -   , -   ,920,550, -   , -   ,"2,076", -   , -   ,272,"2,897"
600,SULPHUR SPRINGS ISD,Educational Institution,SFSP,School Food Authority,2,8,Hopkins ,1,19, -   , -   ,19, -   , -   ,477, -   , -   ,"1,250",66, -   , -   ,"1,727",902, -   , -   ,"4,125", -   , -   ,521,"5,547"
615,FT HANCOCK ISD,Educational Institution,SFSP,School Food Authority,1,19,Hudspeth ,1,20, -   , -   ,20, -   , -   ,"2,199", -   , -   ,"2,921",146, -   , -   ,"5,120","4,156", -   , -   ,"9,639", -   , -   ,"1,420","15,215"
629,BORGER ISD,Educational Institution,SFSP,School Food Authority,1,16,Hutchinson ,2, -   , -   , -   ,39,39, -   , -   , -   , -   ,"7,146",183,"5,898", -   ,"13,044", -   , -   , -   ,"23,582","4,541", -   ,"3,026","31,149"
654,BEAUMONT ISD,Educational Institution,SFSP,School Food Authority,3,5,Jefferson ,20,32, -   , -   ,32, -   , -   ,"19,401", -   , -   ,"31,647",989, -   , -   ,"51,048","36,668", -   , -   ,"104,435", -   , -   ,"14,556","155,659"
657,JIM HOGG COUNTY ISD,Educational Institution,SFSP,School Food Authority,5,1,Jim Hogg ,2,32, -   , -   ,32, -   , -   ,"2,362", -   , -   ,"3,160",99, -   , -   ,"5,522","4,464", -   , -   ,"10,428", -   , -   ,"1,533","16,425"
